Filename	Description 	Need1	Technology1	Need2	Technology2	Need3	Technology3	Need4	Technology4	Need5	Technology5	Need6	Technology6	Need7	Technology7	Public Input: Submission to WHS	Public Input: Survey Results	Public Input: Stakeholder Consultation Report	Public Input: External Conference Report	Public Input: Key document	WHS Output: Stakeholder Analysis Report	WHS Output: Co-Chairs Summary	WHS Output: Thematic report	WHS Output: Online consultation report	Stakeholder Group: Affected communities	Stakeholder Group: Civil society groups	Stakeholder Group: Local NGOs	Stakeholder Group: Member States	Stakeholder Group: UN Agency	Stakeholder Group: INGOs	Stakeholder Group: Regional bodies	Stakeholder Group: Academia	Stakeholder Group: Multiple stakeholders	WCA Documents	NSEA Documents	EOG Documents	MENA Documents	LAC Documents	Pacific Region	Global Documents	National Context: Bahrain	National Context: Barbados	National Context: Trinidad and Tobago	National Context: Congo	National Context: Japan	National Context: New Zealand	National Context: Samoa	National Context: Solomon Islands
016-VOL%2020_Towards%20the%20WHS%20LowDef.pdf	"Pg. 7/16: Last Mile Mobile Solutions (LMMS) is a software system – developed by and for aid-workers – that enables staff to register people affected by disasters and better manage services offered to them.
 “A lot of time used to be taken up with transforming report data into a computer back at the office. Using LMMS means we have more time to focus on results,” a
 World Vision field monitor said. The tool is used by World Vision in eight countries in Africa as well as in Haiti and Pakistan.
 The Early Warning for Early Action index is an intuitive and simple-to-use app that World Vision has been using across 14 countries in Africa. It gathers field data, summarises it into an index, makes projections six months in advance and automatically suggests management and programmatic actions."	Online Registration	Mobile	 		 		 		 		 		 		x														x																		
022-french-non-paper-on-humanitarian-action-for-the-world-humanitarian-summit.pdf	"Pg. 5/7: o Developing innovative technologies and approaches, in connection with the private sector
 (telephony, transportation, infrastructure, etc.). In particular, research and dissemination of ICT in favor of aid to populations (SMS, cash transfers) should be encouraged whenever possible. In addition, the steady growth in the number of forcibly displaced persons in urban areas requires adapting humanitarian aid to this environment (food cards, online registration for example)."	Communication	Mobile	Online Cash	Mobile	 	 	 	 	 	 	 	 	 	 	x												x																				
19 2015 - WFP- COMPILATION FOR CIRCULATION.pdf	"Pg. 18/19: Harnessing technology for assessment, monitoring and outreach
 Technology-based options for assessments, monitoring, communication and participation, such as mobile phones, SMS messages, radio and social media, are increasingly used as an option to reach populations, strengthen their participation, and receive feedback. As such, the use of these technologies can address or partially offset restrictions to proximity."	Communication	Mobile	Communication	Radio	 	 	 	 	 	 	 	 	 	 	x																																
2014.06.13 Déclaration conférence Ndjamena1.doc	"Pg. 2/4: [E]n effet, nous avons pu constater, au Niger par exemple, que l’usage de téléphones portables pour transférer du cash aux populations au lieu des traditionnelles distributions de vivres s’est avéré tout à fait adapté et apprécié par les populations."	Online Cash	Mobile													x																		x														
2 DHP Sep 2014 INNOVATION background and conclusions PRESENTATION.pdf	"Pg. 3-4/11: 2. Spain highlighted innovative partnerships between the public and private sector, a
 project that supplied solar energy to a 45,000-person refugee camp in Ethiopia that
was off the power grid, but which had previously been consuming large amounts of firewood to meet energy needs. Spain identified several challenges in the advancement of innovation, such as the need for better managerial experience in multi-stakeholder collaboration and the need for increased funding for innovation.
 Spain noted that incentives such as tax relief were vital for engaging relevant private sector partners and the importance of working with locally based companies.
 3. Brazil presented its innovative approach to social safety net and local procurement programs from its national context, noting that it had given special attention to programs that bridge the divide between traditional, and often paternalistic forms of assistance and more innovative, empowering instruments geared towards providing assistance while fomenting development. In order to assist the UN system in ""scaling up"" these types of innovation, Brazil has financed small scale pilot projects such as WFP's Purchase 4 Progress, PAA Africa and, most recently,
 PAA Refugees (UNHCR) and PAA Asia (just launched in the Philippines). Brazil emphasized the importance in its own country of providing emergency assistance when needed, but also reducing vulnerability and extreme poverty on an on-going basis.
Pg. 4/11: 4. Sweden highlighted the “3N” (Les Nigériens nourrissent les Nigériens) program, an innovative four-year, multi-sector program implemented in Niger starting in 2012.
 The primary innovation in this case was to change from an approach of responding to recurrent food insecurity only in times of emergency, but instead to establish collaborative risk reduction programs that made drought-affected communities less vulnerable to shocks overall.
 5. Turkey emphasized the central role that national governments play in humanitarian innovation and action through economic and legislative means, and noted that these lessons should be more widely shared.
Pg. 5/11: • Mobile connectivity (including SMS-enabled tools such as emergency early warning alerts; , mobile cash transfers; and the use of smart phone tools for needs assessment).
 • Data Analytics, including crowdsourcing for damage and needs assessment, big data analysis, and satellite imagery to track humanitarian trends.
 • Field Support Tools for improved information and logistics, such as Micro-UAVs for aerial assessment and delivery of goods; Tracking tools such as smart boxes and sensors used to track vaccine quality; restoration of emergency connectivity, such as the Emergency.LU tool.
 • Non-ICT tools were also mentioned, including advance water filters, solar power and alternative energy, and pop-up shelters like those designed by UNHCR and
 Ikea. Examples of “frugal innovation” were also cited, such as Potters for Peace,
 Litres of Light, and the Makiri hybrid cook stoves.
Pg. 3/11: Session 2: Humanitarian innovation and development
  An emerging area of focus in humanitarian innovation is the effort to ensure that a short- term humanitarian response to a particular emergency also supports local community resilience and strengthens sustainable development. Members discussed the need to adopt new methods of working and new organizational structures that would enable these kinds of linkages. Some potential examples include the use of cash-based programming that supports local markets, promoting local procurement of good and services to supply humanitarian goods, or linking humanitarian programming to social safety nets and insurance mechanisms for vulnerable populations.
Pg. 5/11: 1) Members noted the important role of governments in data management and analysis at the national level, particularly where politically sensitive and unverified data in emergencies is concerned. The example of OCHA’s Humanitarian Data Exchange
 (HDX) was noted, highlighting that governments are among the priority users of and contributors to HDX and that some governments are taking the lead in promoting open data (eg. Kenya).
Pg. 5/11: 2) Members were particularly engaged in the discussion of technology-related challenges, such as sustainability in resource-poor settings; exclusion perpetuated by technology- enabled programs; and challenges in ensuring data privacy and informed consent.
 Several Member States also voiced concern over the lack of verification of crowd- mapped data after emergencies, which can lead to misinformation and confusion, and highlighted the need to limit the use of voluntary information tools as a basis for decision making until they can be verified.
Pg. 9/11: a. DHP Members explored a number of case studies of innovation in humanitarian response, including around the use of big data, mobile phones or small unmanned aerial vehicles (UAVs) for needs assessment, solar power in refugee camps, crowd-sourced mapping of satellite imagery; as well as ""frugal innovations"" that use sustainable local technology, such as pottery water filters.
Pg. 11/11: f. DHP Members also recommend Member States to consider how to strengthen the role of humanitarian innovation in the post-2015
 Development Agenda, the Third World Conference on Disaster Risk
 Reduction, the United Nations Conference on Housing and
 Sustainable Urban Development and other processes. This could include:
 i. Ensuring that R&D funds and investments for development also include issues around risk reduction and more effective disaster and humanitarian response.
 ii. Ensuring that specific innovations like disaster insurance, e- transfers, big data, advanced risk modelling, and new technologies that apply to both humanitarian action and resilience and risk reduction are recognized and supported."	Alternative Energy	Solar Power													x																																
43 34_SLB_WHJS Consulation report.pdf	"Pg. 10/36: Existing Innovative Solutions
 Community Based Disaster Risk Management (CBDRM) Programmes
 The Solomon Islands through a donor support piloted a concept of “community flood early warning system” comprising of very basic technology but effective enough to alert communities of impending flood danger. The pilot programme was designed basing on the following assumptions:
 1. That the communities do not have access to transistor radio thus are unable to receive alerts.
 2. Out of range from telephone or mobile contact which true about a lot communities in the
 Solomon Islands.
 3. Community close to major river system and is regularly affected by floods.
 4. Use of basic village level technology – rain and flood gauge with village technicians trained to maintain records and undertaking basic maintenance to instruments.
 5. That different level reading – rainfall or flood level triggers different activation levels of the
 Village Disaster Risk Plan so even without warnings from authorities, village disaster committees can activate their own emergency response plans.
 6. On-going support from relevant Govt mandated ministries.
 7. Low cost and owned by the community.
 This concept will be rolled out in 15 communities including schools identified by Provincial Disaster
 Officers. For schools, this programme will form part of the school safety club designed to be part of the school’s extra-curricular activities.
Pg. 10/36: Community Vulnerability and Risk Management tool (CVRM)
 This is a tool which is now been piloted in 10 communities in Temotu Province and 10 Communities on Guadalcanal Province. Funded by the World Bank, this tool is a “marriage” between the CDBRM tool used by NDMO and the Vulnerability Assessment and Adaptation (VAA) tool used by the Climate
 Change Office. Once fully tested, this will be the Solomon Islands guide to community engagements for use by all partners undertakes DRR/CCA at the community level.
Pg. 11/36: Under World Bank support, Solomon Island is installing a radio communication system that will enable communication to continue despite any disasters. This is important in that the Solomon
 Islands experienced communication breakdown every time there is a disaster impact. This is either due to infrastructure damage or due to increase use thus traffic jamming up. This system will have alerting, data and voice capability. The system will be installed in all Provincial Disaster Offices and will provide the “last mile” communication to communities.
Pg. 18/36: NEW INOVATION • Standalone radio communication system for emergency communication during disaster events. • CVRM Tool – combined tool for DRR/CCA community based activities • New innovation, use of smart phone speed up data collection. • Geographically location is always a problem, suggested to use drones to do Arial surveys, to minimize logistic"	Early Warning	Mobile	Online Cash	Mobile	Damage & Need Assessment	Data Analytics	Damage & Need Assessment	Imagery (UAV/Satellite)	Alternative Energy	Solar Power	Damage & Need Assessment	Crowdsourcing	Damage & Need Assessment	Crowdsourcing	x												x																				x
9 [Spain] WHS Positioning Paper.pdf	"Pg. 6/9: Innovative information management: The humanitarian action is benefitting from a highly increased access to information, hard information as well as analytical one from both ground based sources and others. This enables primary players of the humanitarian action (the affected populations) to express and channel their views, perceptions and opinions to the rest of the players in the supply chain. This enormous asset should be used in the most efficient way by overcoming the indicators monitoring and ensuring the interconnected analysis of empirical data to back up operational response, quality assurance and policy guidance. New technologies give us the opportunity to include fresh information and analyze it in real time in order to drive the responses and correct potential mistakes before it is too late."	Damage & Need Assessment	Data Analytics													x												x																				
Humanitarian Trends in Southern Africa_ Challenges and Opportunities.pdf	"Pg. 101/161: 5.5 *PLEASE CALL ME*
 Perhaps one of the most pervasive resources for vulnerability reduction has been the impressive expansion of mobile phone users in southern Africa. Table 5.5.1 and Figure 5.5.1 respectively show the extraordinary increase in mobile phone subscriptions and associated coverage in the past decade. By the end of 2011, it was estimated that there were approximately 120 million mobile phone subscriptions in the study countries. The Institute for Security Studies (ISS) argues that “mobile phones have become tools for social transformation. Small-scale farmers link up with markets, citizens can report (and video) instances of abuse... and citizens can identify instances of crime” (Cilliers et al., 2011:53)
Pg. 102/161: Citing the Economist (September 2009), they argue that “adding an extra ten mobile phones per hundred people in a typical developing country boosts growth in GDP per person by 0.8 percentage points” (ibid).
 The expansion of ICT in southern Africa – and particularly growing access to mobile phones represents an untapped resource for humanitarian action – especially as it expedites access to ‘mobile money’ (Cilliers et al., 2011:54), which may be crucial for reducing vulnerability during times of duress."	Communication	Mobile	Online Cash	Mobile											x															x																	
WHS EOG Youth survey data.xls	"Pg. 93/180: Social media ensures an impressively wide audience to any updates on the global emergency sphere. With the involvement of celebrities, the humanitarian assistance that will be available, either directly or indirectly, will change millions of lives globally.
 new technology gives us the opportunity to be imformed faster and act faster in order to help in an emergency situation
Pg. 97/180: First of all, new technology can better identify risks and, therefore, help build resilience to avoid disasters. New technology can ensure a faster spread of official, verified information. For example, early warnings can be transmitted via text message to each person located in a region at risk, allowing for quicker and more efficient response. It can also be used to locate victims or identify communities or areas that are priorities.
 Emergency response plans can easily be shared with whole regions and new means of communication can ensure quick mobilization of response teams and organizations. New technology can also help the mobilization of civil society, by identifying households that can take in victims or distribute food and water."	Early Warning	Social Media	Build Resilience	Risk Management	Communication	Mobile										x																															
01072014 WHS-RC UN Japan Inputs.final.docx	"Pg. 4/5: b) Social media, open source data, and big data analysis: This needs to be prioritized in the
 WHS-RC discussion, given the huge potentials for using these to save lives and assist the affected populations. A lot of public interests, media stories and relevant researches on these in Japan that need to be fed into the WHS discussion around innovation effectively."	Communication	Social Media	Damage & Need Assessment	Data Analytics													x											x						x										x			
11 Redhum-LAC-Doc-Executive_Report-National_Consultation-Antigua__Barbuda-WHS-201504-20150430-DS-16368.pdf	"Pg. 4/10: Utilize social media should be utilize more effectively to build networks of humanitarian actors, communities and other partners
Pg. 8/10: Utilize social media to build networks of humanitarian actors, public sector and beneficiaries..."	Communication	Social Media															x										x										x										
12 Redhum-LAC-Doc-Executive_Report-National_Consultation-Barbados-WHS-201504-20150430-DS-16363.pdf	"Pg. 6/11: Social Media
 • Recommended the use of social media to enhance DEM’s visibility (to assist in public awareness and education) and sensitization of the public (Policy makers can make adjustments).
Pg. 6/11: Use of Technologies
 Application/Implementation of the Information Communication Technology (ICT) Strategy
 • Recognized the existing technological efforts to use technology to enhance decision making and noted the use of various platforms, e.g. DEWETRA
Pg. 7/11: Use of Various Platforms
 • Noted the information provided by the GPS app called WAZE.
Pg. 7/11: Use of technology to improve the effectives of agencies
 • Recommended the use of technology to better track assistance given (i.e. who has been impacted, their needs, and the actions applied to particular crisis, this would be based on need, this is defined based on what was there before) this will improve accountability of organizations;
 • Noted that the above recommendation can be used for the parish of St Lucy (who has a system which can feed into the overall system);
 • Recommended the use of Drones/Aircraft to map data;
 • Also recommended the mapping of the country (aircraft to video tape areas, store data,) in the event of a disaster, aircraft can travel the same route and examine the impacted routes;
 • Recommended the Identification of major suppliers in Bridgetown – (Noted: make an effort to encourage businesses in the northern zone to maintain a higher level of stock which can be drawn down).
 • Suggested the use of an Identification Card – where persons can show cards at selected supermarkets to receive emergency supplies;
Pg. 11/11: Transformation Through Innovation
 • The effective use of social media by other agencies within the disaster management system."	Education/Awareness	Social Media	Damage & Need Assessment	Data Analytics	Damage & Need Assessment	Imagery (UAV/Satellite)	Navigation	GPS									x										x										x				x						
13 Redhum-LAC-Doc-Executive_Report-National_Consultation-Trinidad__Tobago-WHS-201504-20150430-DS-16361.pdf	"Pg. 3/10: In that regard exploring ideas of linking with social media and other community outreach endeavors such as religious and spiritual center newsletters and spaces where people gather to share information and community cultural events involving schools and education center were considered innovative possibilities to raise public awareness, knowledge and capacity as well as generally disseminate and increase access to important information.
Pg. 6/10: Encouraging the increased widespread use of ICTs to keep communication lines in affected areas operational.
Pg. 8/10: All Humanitarian Agencies should have an App
 • Telecommunication providers DIGICEL and BMOBILE should pre-install app.
 *Develop our own Social Media. (Localized – Similar to FB Whatsapp Instagram) –
 Known throughout the world.
 • Establishment of a website for DMU’s.
 • Creation of a special portal that all agencies can feed into."	Education/Awareness	Social Media	Communication	Mobile													x										x										x					x					
20140530 IASC RN WHS Consultation_Summary Meeting Record (final).docx	"Pg. 8/14: Humanitarian effectiveness should be less about improving the response mechanisms and more about putting better early warning systems in place. Without early warning, effectiveness was limited. The focus on the
 Transformative Agenda belied the fact that early warning systems had the biggest potential for improving humanitarian effectiveness."	Early Warning	Mobile															x																	x													
28 22_Multi_INGO_MFAT_23-April_NZL.pdf	"Pg. 6/10: Technology: o Cell connectivity: use/systemise it. There are many different systems - Digicel, Vodafone, etc - information needs to be consolidated. o There are good examples of community level HF & VHF radio communication systems in the
 Pacific that can be replicated. o To improve the speed and quality of imagery capture and management in a disaster, improve the use of drones/planes, photos, imagery management and distribution through the NDMO. Mark key assets with GPS points that can be located following disaster in the images.
Pg. 7/10: Technology: o Using cell-phone based software systems to conduct assessments is one way to rapidly collect, analyse and disseminate data. This is being trialled with very good results."	Communication	Mobile	Communication	Radio	Damage & Need Assessment	Imagery (UAV/Satellite)											x															x													x		
"2. Kuwait CS Consultation, June 9' 14_EN.pdf"	"Pg. 1/3: The use of modern technology in humanitarian response has increased, these help identify the locations and type of work needed when responding to a crisis. Resource allocation should be provided to equip humanitarian workers with such devices
Pg. 2/3: The use of modern technology in humanitarian action such as satellite imaging and use of social media for effective communication and organising is being increasing used as a key tool. Modern technology is also used in various stages of humanitarian crisis such as the assessment, implementation and reviews."	Communication	Mobile	Damage & Need Assessment	Imagery (UAV/Satellite)	Communication	Social Media											x									x																					
32 2a_INGOs_NDRF_Group1_19-Feb_NZL.pdf	"Pg. 3/6: 7. What new approaches or innovations have the potential to improve disaster response?
 • Mapping of countries that have high disaster risk (for example an 80% of cyclones), including village and resources are – layering with resources, prepositioned stock, volunteers, Civil Society groups etc.
 • MFAT have maps from NZDF of Pacific Countries that it could be shared with NDRF
 • Crowd sourcing, GSP, disaster mapping in Vanuatu – UNICEEF AKVO water and sanitation resources and what equipment communities have, in collaboration with
 NDMO and government
 • Mobile assessments – SMS codes for rapid assessments, but some scepticism around this
 • Pacific communities are powered by solar power
Pg. 4/6: NZRC is currently developing technology for sending assessment data via a satellite modem
 • Drones for surveillance and delivery health supplies and vaccinations"	Build Resilience	Risk Management	Damage & Need Assessment	Crowdsourcing	Communication	Mobile	Supply	Drones									x																												x		
39 33_Multi_PHT_Group1-5-May_FJI (2).pdf	"Pg. 4/5: xl. Pre-approved cyclone resilient designs need to be in place and widely shared. For public buildings, and also private homes. A challenge is also to get  builders/owners to comply as it usually costs more to build up to the standard of
 Cyclone Category 5 resilient – people succumb to temptation to cut costs or just do what they can afford.
Pg. 4/5: Innovations: Use of uav/drones. Lack of regulations or outdated legislation.
 Should be reviewed. SPC used its drone in Vanuatu. SPC knew exactly where to go to get clearance. This information needs to be more widely shared, maybe a working group/task force.
Pg. 4/5: Innovations: In Vanuatu, two of the clusters used SMART phones for data entry of assessments, others did not. Use of paper based assessment led to loss of time for data entry. Also, compatible software systems or one standard system should be in place."	Build Resilience	Risk Management	Damage & Need Assessment	Imagery (UAV/Satellite)	Communication	Mobile											x															x															
40 33_Multi_PHT_Group2-5-May_FJI (3).pdf	"Pg. 4/8: • In Tonga and Vanuatu, UNDP has partnered with Digicell to rapidly recover communication infrastructure, send SMSs encouraging people to plant seeds, use SMS assessments to inform clusters’ recovery planning
 • Application of mobile technologies"	Communication	Mobile															x															x															
47 40 Samoa CROP 11-05-2015_part2.pdf	"Pg. 6/8: Innovations can be found in areas such as remote sensing, geographic information systems, mobile technologies, data portals, etc."	Communication	Mobile	Damage & Need Assessment	Imagery (UAV/Satellite)													x																														
5 Cananda report - THF - IR Canada.pdf	"Pg. /145: 
3.4.6 Effective Innovations 3.4.6.1 Innovations with the biggest potential to improve disaster response • Mobile phones • The mobile phone: the ability to transfer funds from one place to another. • Localization of the response • Local innovations. Locally produced • Globalization has given us the ability to share everything. But one size doesnt fit all • Microfinance. 
Pg. 42/145: 3.6 Effective Innovations Innovations with the biggest potential to improve disaster response • Mobile phones • The mobile phone: the ability to transfer funds from one place to another. • Localization of the response • Local innovations. Locally produced. • Globalization has given us the ability to share everything. But one size doesnt fit all • Microfinance."	Communication	Mobile	Online Cash	Mobile													x															x			x												
