"","Filename","Need","Technology","Public.Input..Submission.to.WHS","Public.Input..Survey.Results","Public.Input..Stakeholder.Consultation.Report","Public.Input..External.Conference.Report","Public.Input..Key.document","WHS.Output..Stakeholder.Analysis.Report","WHS.Output..Co.Chairs.Summary","WHS.Output..Thematic.report","WHS.Output..Online.consultation.report","Stakeholder.Group..Affected.communities","Stakeholder.Group..Civil.society.groups","Stakeholder.Group..Local.NGOs","Stakeholder.Group..Member.States","Stakeholder.Group..UN.Agency","Stakeholder.Group..INGOs","Stakeholder.Group..Regional.bodies","Stakeholder.Group..Academia","Stakeholder.Group..Multiple.stakeholders","WCA.Documents","NSEA.Documents","EOG.Documents","MENA.Documents","LAC.Documents","Pacific.Region","Global.Documents","National.Context..Bahrain","National.Context..Barbados","National.Context..Trinidad.and.Tobago","National.Context..Congo","National.Context..Japan","National.Context..New.Zealand","National.Context..Samoa","National.Context..Solomon.Islands"
"1","016-VOL%2020_Towards%20the%20WHS%20LowDef.pdf","Online Registration","Mobile",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","022-french-non-paper-on-humanitarian-action-for-the-world-humanitarian-summit.pdf","Communication","Mobile",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","19 2015 - WFP- COMPILATION FOR CIRCULATION.pdf","Communication","Mobile",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","2014.06.13 Déclaration conférence Ndjamena1.doc","Online Cash","Mobile",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","2 DHP Sep 2014 INNOVATION background and conclusions PRESENTATION.pdf","Alternative Energy","Solar Power",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","43 34_SLB_WHJS Consulation report.pdf","Early Warning","Mobile",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"7","9 [Spain] WHS Positioning Paper.pdf","Damage & Need Assessment","Data Analytics",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Humanitarian Trends in Southern Africa_ Challenges and Opportunities.pdf","Communication","Mobile",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","WHS EOG Youth survey data.xls","Early Warning","Social Media",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","01072014 WHS-RC UN Japan Inputs.final.docx","Communication","Social Media",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
